,Text_ID,Word_ID,Word,Fixation_Duration,Default_Polarity,Sarcasm
0,1,1,Aspect--Work,169.85714285714286,-1.0,Yes
1,1,2,I,0.0,-1.0,Yes
2,1,3,work,545.0,-1.0,Yes
3,1,4,40,199.14285714285714,-1.0,Yes
4,1,5,hours,203.0,-1.0,Yes
5,1,6,a,131.28571428571428,-1.0,Yes
6,1,7,week,329.0,-1.0,Yes
7,1,8,to,158.14285714285714,-1.0,Yes
8,1,9,be,312.7142857142857,-1.0,Yes
9,1,10,this,421.57142857142856,-1.0,Yes
10,1,11,poor,52.857142857142854,-1.0,Yes
0,2,1,Aspect--Perfume,388.42857142857144,-1.0,Yes
1,2,2,Nice,382.14285714285717,-1.0,Yes
2,2,3,perfume.,521.8571428571429,-1.0,Yes
3,2,4,Must,773.7142857142857,-1.0,Yes
4,2,5,you,492.2857142857143,-1.0,Yes
5,2,6,marinate,1437.0,-1.0,Yes
6,2,7,in,405.57142857142856,-1.0,Yes
7,2,8,it?,48.285714285714285,-1.0,Yes
0,3,1,Aspect--Human,233.57142857142858,-1.0,Yes
1,3,2,Suburbia:,568.5714285714286,-1.0,Yes
2,3,3,where,473.57142857142856,-1.0,Yes
3,3,4,they,332.7142857142857,-1.0,Yes
4,3,5,tear,294.0,-1.0,Yes
5,3,6,out,156.14285714285714,-1.0,Yes
6,3,7,the,237.57142857142858,-1.0,Yes
7,3,8,trees,159.42857142857142,-1.0,Yes
8,3,9,and,96.85714285714286,-1.0,Yes
9,3,10,then,190.28571428571428,-1.0,Yes
10,3,11,name,255.0,-1.0,Yes
11,3,12,streets,410.7142857142857,-1.0,Yes
12,3,13,after,296.14285714285717,-1.0,Yes
13,3,14,them.,97.42857142857143,-1.0,Yes
0,4,1,Aspect--Office,101.85714285714286,-1.0,Yes
1,4,2,This,127.57142857142857,-1.0,Yes
2,4,3,isnt,640.0,-1.0,Yes
3,4,4,an,359.57142857142856,-1.0,Yes
4,4,5,office.,288.7142857142857,-1.0,Yes
5,4,6,Its,165.14285714285714,-1.0,Yes
6,4,7,Hell,331.85714285714283,-1.0,Yes
7,4,8,with,199.14285714285714,-1.0,Yes
8,4,9,fluorescent,483.42857142857144,-1.0,Yes
9,4,10,lighting.,247.0,-1.0,Yes
0,5,1,Aspect--My,127.33333333333333,-1.0,Yes
1,5,2,Dont,760.6666666666666,-1.0,Yes
2,5,3,bother,84.16666666666667,-1.0,Yes
3,5,4,me.,489.5,-1.0,Yes
4,5,5,Im,893.8333333333334,-1.0,Yes
5,5,6,living,328.1666666666667,-1.0,Yes
6,5,7,happily,320.1666666666667,-1.0,Yes
7,5,8,ever,671.8333333333334,-1.0,Yes
8,5,9,after.,679.0,-1.0,Yes
0,6,1,Aspect--You,160.0,-1.0,Yes
1,6,2,Sometimes,457.14285714285717,-1.0,Yes
2,6,3,I,0.0,-1.0,Yes
3,6,4,need,354.42857142857144,-1.0,Yes
4,6,5,what,451.7142857142857,-1.0,Yes
5,6,6,only,297.0,-1.0,Yes
6,6,7,you,337.57142857142856,-1.0,Yes
7,6,8,can,222.0,-1.0,Yes
8,6,9,provide:,417.85714285714283,-1.0,Yes
9,6,10,your,702.7142857142857,-1.0,Yes
10,6,11,absence.,432.0,-1.0,Yes
0,7,1,Aspect--You,171.16666666666666,-1.0,Yes
1,7,2,I,0.0,-1.0,Yes
2,7,3,feel,512.8333333333334,-1.0,Yes
3,7,4,so,287.6666666666667,-1.0,Yes
4,7,5,miserable,1243.8333333333333,-1.0,Yes
5,7,6,without,956.3333333333334,-1.0,Yes
6,7,7,"you,",145.66666666666666,-1.0,Yes
7,7,8,it's,338.1666666666667,-1.0,Yes
8,7,9,almost,645.6666666666666,-1.0,Yes
9,7,10,like,640.0,-1.0,Yes
10,7,11,having,553.6666666666666,-1.0,Yes
11,7,12,you,658.8333333333334,-1.0,Yes
12,7,13,here.,164.33333333333334,-1.0,Yes
0,8,1,Aspect--You,165.42857142857142,-1.0,Yes
1,8,2,I,35.142857142857146,-1.0,Yes
2,8,3,never,344.57142857142856,-1.0,Yes
3,8,4,forget,325.42857142857144,-1.0,Yes
4,8,5,a,42.0,-1.0,Yes
5,8,6,"face,",284.85714285714283,-1.0,Yes
6,8,7,but,143.71428571428572,-1.0,Yes
7,8,8,in,214.57142857142858,-1.0,Yes
8,8,9,your,127.71428571428571,-1.0,Yes
9,8,10,case,203.0,-1.0,Yes
10,8,11,I'll,83.14285714285714,-1.0,Yes
11,8,12,be,104.14285714285714,-1.0,Yes
12,8,13,glad,163.57142857142858,-1.0,Yes
13,8,14,to,83.42857142857143,-1.0,Yes
14,8,15,make,227.71428571428572,-1.0,Yes
15,8,16,an,172.28571428571428,-1.0,Yes
16,8,17,exception.,125.57142857142857,-1.0,Yes
0,9,1,Aspect--She,213.14285714285714,-1.0,Yes
1,9,2,The,235.71428571428572,-1.0,Yes
2,9,3,trouble,494.14285714285717,-1.0,Yes
3,9,4,with,189.0,-1.0,Yes
4,9,5,her,232.28571428571428,-1.0,Yes
5,9,6,is,65.14285714285714,-1.0,Yes
6,9,7,that,347.14285714285717,-1.0,Yes
7,9,8,she,104.85714285714286,-1.0,Yes
8,9,9,lacks,393.57142857142856,-1.0,Yes
9,9,10,the,59.0,-1.0,Yes
10,9,11,power,288.14285714285717,-1.0,Yes
11,9,12,of,62.57142857142857,-1.0,Yes
12,9,13,conversation,452.0,-1.0,Yes
13,9,14,but,106.71428571428571,-1.0,Yes
14,9,15,not,243.42857142857142,-1.0,Yes
15,9,16,the,195.85714285714286,-1.0,Yes
16,9,17,power,438.7142857142857,-1.0,Yes
17,9,18,of,79.71428571428571,-1.0,Yes
18,9,19,speech.,425.0,-1.0,Yes
0,10,1,Aspect--Meterological,713.8571428571429,-1.0,Yes
1,10,2,Weather,277.85714285714283,-1.0,Yes
2,10,3,forecast,344.2857142857143,-1.0,Yes
3,10,4,for,386.85714285714283,-1.0,Yes
4,10,5,tonight:,179.85714285714286,-1.0,Yes
5,10,6,dark.,384.7142857142857,-1.0,Yes
0,11,1,Aspect--Money,146.57142857142858,-1.0,Yes
1,11,2,You,228.57142857142858,-1.0,Yes
2,11,3,"see,",313.57142857142856,-1.0,Yes
3,11,4,money's,394.7142857142857,-1.0,Yes
4,11,5,not,375.7142857142857,-1.0,Yes
5,11,6,everything,389.2857142857143,-1.0,Yes
6,11,7,in,92.71428571428571,-1.0,Yes
7,11,8,life,179.0,-1.0,Yes
8,11,9,is,119.42857142857143,-1.0,Yes
9,11,10,it?,38.857142857142854,-1.0,Yes
10,11,11,But,191.71428571428572,-1.0,Yes
11,11,12,it,34.0,-1.0,Yes
12,11,13,keeps,339.42857142857144,-1.0,Yes
13,11,14,you,107.42857142857143,-1.0,Yes
14,11,15,in,145.42857142857142,-1.0,Yes
15,11,16,touch,231.42857142857142,-1.0,Yes
16,11,17,with,291.42857142857144,-1.0,Yes
17,11,18,your,514.1428571428571,-1.0,Yes
18,11,19,children.,37.42857142857143,-1.0,Yes
0,12,1,Aspect--My,119.14285714285714,-1.0,Yes
1,12,2,I,181.28571428571428,-1.0,Yes
2,12,3,always,42.714285714285715,-1.0,Yes
3,12,4,wanted,587.0,-1.0,Yes
4,12,5,to,355.0,-1.0,Yes
5,12,6,be,155.71428571428572,-1.0,Yes
6,12,7,"somebody,",297.42857142857144,-1.0,Yes
7,12,8,but,381.85714285714283,-1.0,Yes
8,12,9,now,181.42857142857142,-1.0,Yes
9,12,10,I,339.2857142857143,-1.0,Yes
10,12,11,realize,31.142857142857142,-1.0,Yes
11,12,12,I,227.14285714285714,-1.0,Yes
12,12,13,should,32.285714285714285,-1.0,Yes
13,12,14,have,278.57142857142856,-1.0,Yes
14,12,15,been,311.2857142857143,-1.0,Yes
15,12,16,more,272.14285714285717,-1.0,Yes
16,12,17,specific.,438.57142857142856,-1.0,Yes
0,13,1,Aspect,44.857142857142854,-1.0,Yes
1,13,2,"Reader,",0.0,-1.0,Yes
2,13,3,suppose,321.2857142857143,-1.0,Yes
3,13,4,you,753.7142857142857,-1.0,Yes
4,13,5,were,811.2857142857143,-1.0,Yes
5,13,6,an,236.28571428571428,-1.0,Yes
6,13,7,idiot.,404.42857142857144,-1.0,Yes
7,13,8,And,167.0,-1.0,Yes
8,13,9,suppose,199.0,-1.0,Yes
9,13,10,you,100.0,-1.0,Yes
10,13,11,were,411.0,-1.0,Yes
11,13,12,a,96.42857142857143,-1.0,Yes
12,13,13,member,245.71428571428572,-1.0,Yes
13,13,14,of,37.285714285714285,-1.0,Yes
14,13,15,Congress.,208.71428571428572,-1.0,Yes
15,13,16,But,97.28571428571429,-1.0,Yes
16,13,17,I,301.7142857142857,-1.0,Yes
17,13,18,repeat,224.71428571428572,-1.0,Yes
18,13,19,myself.,22.857142857142858,-1.0,Yes
0,14,1,Aspect--Result,424.2857142857143,-1.0,Yes
1,14,2,It's,416.14285714285717,-1.0,Yes
2,14,3,a,326.2857142857143,-1.0,Yes
3,14,4,catastrophic,1832.7142857142858,-1.0,Yes
4,14,5,success.,487.42857142857144,-1.0,Yes
0,15,1,Aspect--Men,219.85714285714286,-1.0,Yes
1,15,2,History,127.42857142857143,-1.0,Yes
2,15,3,teaches,183.57142857142858,-1.0,Yes
3,15,4,us,547.8571428571429,-1.0,Yes
4,15,5,that,404.7142857142857,-1.0,Yes
5,15,6,men,134.14285714285714,-1.0,Yes
6,15,7,and,250.71428571428572,-1.0,Yes
7,15,8,nations,279.14285714285717,-1.0,Yes
8,15,9,behave,170.57142857142858,-1.0,Yes
9,15,10,wisely,290.14285714285717,-1.0,Yes
10,15,11,once,419.85714285714283,-1.0,Yes
11,15,12,they,333.42857142857144,-1.0,Yes
12,15,13,have,433.42857142857144,-1.0,Yes
13,15,14,exhausted,121.0,-1.0,Yes
14,15,15,all,109.85714285714286,-1.0,Yes
15,15,16,other,214.57142857142858,-1.0,Yes
16,15,17,alternatives.,72.14285714285714,-1.0,Yes
0,16,1,Aspect--Marriage,324.0,-1.0,Yes
1,16,2,Marry,596.0,-1.0,Yes
2,16,3,me,424.2857142857143,-1.0,Yes
3,16,4,and,249.14285714285714,-1.0,Yes
4,16,5,I'll,161.85714285714286,-1.0,Yes
5,16,6,never,408.85714285714283,-1.0,Yes
6,16,7,look,324.7142857142857,-1.0,Yes
7,16,8,at,151.28571428571428,-1.0,Yes
8,16,9,another,742.4285714285714,-1.0,Yes
9,16,10,horse!,817.0,-1.0,Yes
0,17,1,Aspect--You,109.5,-1.0,Yes
1,17,2,If,25.666666666666668,-1.0,Yes
2,17,3,you,395.0,-1.0,Yes
3,17,4,find,220.16666666666666,-1.0,Yes
4,17,5,it,230.16666666666666,-1.0,Yes
5,17,6,hard,258.6666666666667,-1.0,Yes
6,17,7,to,190.66666666666666,-1.0,Yes
7,17,8,laugh,465.5,-1.0,Yes
8,17,9,at,91.33333333333333,-1.0,Yes
9,17,10,"yourself,",220.16666666666666,-1.0,Yes
10,17,11,I,0.0,-1.0,Yes
11,17,12,would,580.5,-1.0,Yes
12,17,13,be,258.8333333333333,-1.0,Yes
13,17,14,happy,298.6666666666667,-1.0,Yes
14,17,15,to,70.5,-1.0,Yes
15,17,16,do,224.33333333333334,-1.0,Yes
16,17,17,it,41.333333333333336,-1.0,Yes
17,17,18,for,409.6666666666667,-1.0,Yes
18,17,19,you.,44.5,-1.0,Yes
0,18,1,unk,0.0,-1.0,Yes
1,18,2,Marriage,68.28571428571429,-1.0,Yes
2,18,3,is,256.57142857142856,-1.0,Yes
3,18,4,the,513.7142857142857,-1.0,Yes
4,18,5,chief,117.0,-1.0,Yes
5,18,6,cause,195.85714285714286,-1.0,Yes
6,18,7,of,589.8571428571429,-1.0,Yes
7,18,8,divorce.,593.2857142857143,-1.0,Yes
0,19,1,Aspect--Television,328.1666666666667,-1.0,Yes
1,19,2,I,83.33333333333333,-1.0,Yes
2,19,3,find,73.83333333333333,-1.0,Yes
3,19,4,television,117.16666666666667,-1.0,Yes
4,19,5,very,446.1666666666667,-1.0,Yes
5,19,6,educating.,675.5,-1.0,Yes
6,19,7,Every,402.6666666666667,-1.0,Yes
7,19,8,time,661.3333333333334,-1.0,Yes
8,19,9,somebody,223.0,-1.0,Yes
9,19,10,turns,356.1666666666667,-1.0,Yes
10,19,11,on,298.5,-1.0,Yes
11,19,12,the,234.0,-1.0,Yes
12,19,13,"set,",167.5,-1.0,Yes
13,19,14,I,88.66666666666667,-1.0,Yes
14,19,15,go,191.83333333333334,-1.0,Yes
15,19,16,into,23.833333333333332,-1.0,Yes
16,19,17,the,62.333333333333336,-1.0,Yes
17,19,18,other,206.66666666666666,-1.0,Yes
18,19,19,room,280.3333333333333,-1.0,Yes
19,19,20,and,158.16666666666666,-1.0,Yes
20,19,21,read,350.1666666666667,-1.0,Yes
21,19,22,a,257.8333333333333,-1.0,Yes
22,19,23,book.,444.6666666666667,-1.0,Yes
0,20,1,Aspect--Play,254.14285714285714,-1.0,Yes
1,20,2,I,38.0,-1.0,Yes
2,20,3,was,311.14285714285717,-1.0,Yes
3,20,4,supposed,555.4285714285714,-1.0,Yes
4,20,5,to,158.42857142857142,-1.0,Yes
5,20,6,like,247.71428571428572,-1.0,Yes
6,20,7,the,248.28571428571428,-1.0,Yes
7,20,8,"play,",94.42857142857143,-1.0,Yes
8,20,9,but,44.857142857142854,-1.0,Yes
9,20,10,then,313.7142857142857,-1.0,Yes
10,20,11,I,86.42857142857143,-1.0,Yes
11,20,12,saw,172.28571428571428,-1.0,Yes
12,20,13,it,93.71428571428571,-1.0,Yes
13,20,14,under,422.14285714285717,-1.0,Yes
14,20,15,adverse,402.42857142857144,-1.0,Yes
15,20,16,conditions,210.85714285714286,-1.0,Yes
16,20,17,-,0.0,-1.0,Yes
17,20,18,the,34.42857142857143,-1.0,Yes
18,20,19,curtain,538.5714285714286,-1.0,Yes
19,20,20,was,109.42857142857143,-1.0,Yes
20,20,21,up.,376.7142857142857,-1.0,Yes
0,21,1,Aspect--Others,254.57142857142858,-1.0,Yes
1,21,2,Some,389.0,-1.0,Yes
2,21,3,cause,483.2857142857143,-1.0,Yes
3,21,4,happiness,362.2857142857143,-1.0,Yes
4,21,5,wherever,645.4285714285714,-1.0,Yes
5,21,6,they,240.28571428571428,-1.0,Yes
6,21,7,"go,",23.285714285714285,-1.0,Yes
7,21,8,others,486.42857142857144,-1.0,Yes
8,21,9,whenever,930.5714285714286,-1.0,Yes
9,21,10,they,546.1428571428571,-1.0,Yes
10,21,11,go.,37.857142857142854,-1.0,Yes
0,22,1,Aspect--He,127.71428571428571,-1.0,Yes
1,22,2,He,122.71428571428571,-1.0,Yes
2,22,3,has,384.2857142857143,-1.0,Yes
3,22,4,no,220.28571428571428,-1.0,Yes
4,22,5,"enemies,",319.0,-1.0,Yes
5,22,6,but,182.28571428571428,-1.0,Yes
6,22,7,is,108.28571428571429,-1.0,Yes
7,22,8,intensely,525.2857142857143,-1.0,Yes
8,22,9,disliked,478.42857142857144,-1.0,Yes
9,22,10,by,135.14285714285714,-1.0,Yes
10,22,11,his,270.57142857142856,-1.0,Yes
11,22,12,friends.,125.28571428571429,-1.0,Yes
0,23,1,Aspect--Marriage,688.2857142857143,-1.0,Yes
1,23,2,He,50.714285714285715,-1.0,Yes
2,23,3,was,342.2857142857143,-1.0,Yes
3,23,4,happily,460.57142857142856,-1.0,Yes
4,23,5,married,373.7142857142857,-1.0,Yes
5,23,6,-,0.0,-1.0,Yes
6,23,7,but,240.71428571428572,-1.0,Yes
7,23,8,his,398.57142857142856,-1.0,Yes
8,23,9,wife,94.85714285714286,-1.0,Yes
9,23,10,wasn't.,384.0,-1.0,Yes
0,24,1,Aspect--Money,327.2857142857143,-1.0,Yes
1,24,2,Honesty,647.5714285714286,-1.0,Yes
2,24,3,is,58.142857142857146,-1.0,Yes
3,24,4,the,222.71428571428572,-1.0,Yes
4,24,5,best,332.85714285714283,-1.0,Yes
5,24,6,policy,165.57142857142858,-1.0,Yes
6,24,7,--,67.14285714285714,-1.0,Yes
7,24,8,when,402.2857142857143,-1.0,Yes
8,24,9,there,495.7142857142857,-1.0,Yes
9,24,10,is,181.42857142857142,-1.0,Yes
10,24,11,money,467.42857142857144,-1.0,Yes
11,24,12,in,109.42857142857143,-1.0,Yes
12,24,13,it.,0.0,-1.0,Yes
0,25,1,Aspect--Manchester,392.85714285714283,-1.0,Yes
1,25,2,I,22.142857142857142,-1.0,Yes
2,25,3,would,0.0,-1.0,Yes
3,25,4,like,344.42857142857144,-1.0,Yes
4,25,5,to,266.42857142857144,-1.0,Yes
5,25,6,live,122.85714285714286,-1.0,Yes
6,25,7,in,170.0,-1.0,Yes
7,25,8,"Manchester,",122.42857142857143,-1.0,Yes
8,25,9,England.,322.57142857142856,-1.0,Yes
9,25,10,The,292.85714285714283,-1.0,Yes
10,25,11,transition,0.0,-1.0,Yes
11,25,12,between,282.14285714285717,-1.0,Yes
12,25,13,Manchester,200.57142857142858,-1.0,Yes
13,25,14,and,239.14285714285714,-1.0,Yes
14,25,15,death,38.857142857142854,-1.0,Yes
